id	firstname	lastname	affiliation	grade_level	class_of	opt_out
1	H.	Honeydew	Student	5	2023	FALSE
2	I.	Ivory	Student	6	2022	FALSE
3	C.	Cream	Parent			FALSE
4	B.	Black	Student	8	2020	FALSE
5	G.	Grey	Student	8	2020	FALSE
6	C.	Charcoal	Parent			FALSE
7	M.	Mauve	Student	4	2024	FALSE
8	P.	Pink	Parent			FALSE
9	R.	Rose	Student	5	2023	FALSE
10	R.	Red	Parent			FALSE
11	F.	Fushcia	Faculty			FALSE
12	A.	Amber	Student	4	2024	FALSE
13	O.	Orange	Parent			FALSE
14	Y.	Yellow	Parent			FALSE
15	A.	Avocado	Student	8	2020	FALSE
16	E.	Emerald	Student	8	2020	FALSE
17	G.	Green	Parent			FALSE
18	C.	Cyan	Student	7	2021	FALSE
19	B.	Blue	Parent			TRUE
20	A.	Azure	Parent			FALSE
